customerID,gender,is_senior,Partner,Dependents,tenure,tenure_group,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,contract_rank,PaperlessBilling,PaymentMethod,MonthlyCharges,monthly_charge_group,TotalCharges,risk_group,Churn
8779-QRDMV,Male,Senior,No,No,1,0-1 year,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,1,Yes,Electronic check,39.65,35-70,39.65,Low Risk,Yes
1680-VDCWW,Male,Non-Senior,Yes,No,12,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,No,Bank transfer (automatic),19.8,1-35,202.25,Medium Risk,No
1066-JKSGK,Male,Non-Senior,No,No,1,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.15,1-35,20.15,Low Risk,Yes
3638-WEABW,Female,Non-Senior,Yes,No,58,4+ years,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,3,Yes,Credit card (automatic),59.9,35-70,3505.1,Low Risk,No
6322-HRPFA,Male,Non-Senior,Yes,Yes,49,4+ years,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,1,No,Credit card (automatic),59.6,35-70,2970.3,Low Risk,No
6865-JZNKO,Female,Non-Senior,No,No,30,2-4 years,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,Yes,Bank transfer (automatic),55.3,35-70,1530.6,Low Risk,No
6467-CHFZW,Male,Non-Senior,Yes,Yes,47,2-4 years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,99.35,70+,4749.15,Low Risk,Yes
8665-UTDHZ,Male,Non-Senior,Yes,Yes,1,0-1 year,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,1,No,Electronic check,30.2,1-35,30.2,Low Risk,Yes
5248-YGIJN,Male,Non-Senior,Yes,No,72,4+ years,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,3,Yes,Credit card (automatic),90.25,70+,6369.45,Low Risk,No
8773-HHUOZ,Female,Non-Senior,No,Yes,17,1-2 years,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Yes,Mailed check,64.7,35-70,1093.1,Medium Risk,Yes
3841-NFECX,Female,Senior,Yes,No,71,4+ years,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,3,Yes,Credit card (automatic),96.35,70+,6766.95,Low Risk,No
4929-XIHVW,Male,Senior,Yes,No,2,0-1 year,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),95.5,70+,181.65,High Risk,No
6827-IEAUQ,Female,Non-Senior,Yes,Yes,27,2-4 years,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,2,No,Mailed check,66.15,35-70,1874.45,Low Risk,No
7310-EGVHZ,Male,Non-Senior,No,No,1,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Bank transfer (automatic),20.2,1-35,20.2,Low Risk,No
3413-BMNZE,Male,Senior,No,No,1,0-1 year,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,1,No,Bank transfer (automatic),45.25,35-70,45.25,Low Risk,No
6234-RAAPL,Female,Non-Senior,Yes,Yes,72,4+ years,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,3,No,Bank transfer (automatic),99.9,70+,7251.7,Low Risk,No
6047-YHPVI,Male,Non-Senior,No,No,5,0-1 year,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,69.7,35-70,316.9,Low Risk,Yes
6572-ADKRS,Female,Non-Senior,No,No,46,2-4 years,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Yes,Credit card (automatic),74.8,70+,3548.3,Low Risk,No
5380-WJKOV,Male,Non-Senior,No,No,34,2-4 years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,106.35,70+,3549.25,Low Risk,Yes
8168-UQWWF,Female,Non-Senior,No,No,11,0-1 year,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Yes,Bank transfer (automatic),97.85,70+,1105.4,High Risk,Yes
8865-TNMNX,Male,Non-Senior,Yes,Yes,10,0-1 year,Yes,No,DSL,No,Yes,No,No,No,No,One year,2,No,Mailed check,49.55,35-70,475.7,Low Risk,No
9489-DEDVP,Female,Non-Senior,Yes,Yes,70,4+ years,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,3,Yes,Credit card (automatic),69.2,35-70,4872.35,Low Risk,No
9867-JCZSP,Female,Non-Senior,Yes,Yes,17,1-2 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,No,Mailed check,20.75,1-35,418.25,Medium Risk,No
4671-VJLCL,Female,Non-Senior,No,No,63,4+ years,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,3,Yes,Credit card (automatic),79.85,70+,4861.45,Low Risk,No
4080-IIARD,Female,Non-Senior,Yes,No,13,1-2 years,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,1,Yes,Electronic check,76.2,70+,981.45,Medium Risk,No
3714-NTNFO,Female,Non-Senior,No,No,49,4+ years,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Yes,Electronic check,84.5,70+,3906.7,Low Risk,No
5948-UJZLF,Male,Non-Senior,No,No,2,0-1 year,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,1,No,Mailed check,49.25,35-70,97.0,Low Risk,No
7760-OYPDY,Female,Non-Senior,No,No,2,0-1 year,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,80.65,70+,144.15,High Risk,Yes
7639-LIAYI,Male,Non-Senior,No,No,52,4+ years,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,3,Yes,Credit card (automatic),79.75,70+,4217.8,Low Risk,No
2954-PIBKO,Female,Non-Senior,Yes,Yes,69,4+ years,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,3,Yes,Credit card (automatic),64.15,35-70,4254.1,Low Risk,No
8012-SOUDQ,Female,Senior,No,No,43,2-4 years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,90.25,70+,3838.75,Low Risk,No
9420-LOJKX,Female,Non-Senior,No,No,15,1-2 years,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),99.1,70+,1426.4,Medium Risk,Yes
6575-SUVOI,Female,Senior,Yes,No,25,2-4 years,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,1,Yes,Credit card (automatic),69.5,35-70,1752.65,Low Risk,No
7495-OOKFY,Female,Senior,Yes,No,8,0-1 year,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,1,Yes,Credit card (automatic),80.65,70+,633.3,High Risk,Yes
4667-QONEA,Female,Senior,Yes,Yes,60,4+ years,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,2,Yes,Credit card (automatic),74.85,70+,4456.35,Low Risk,No
1658-BYGOY,Male,Senior,No,No,18,1-2 years,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,95.45,70+,1752.55,Medium Risk,Yes
8769-KKTPH,Female,Non-Senior,Yes,Yes,63,4+ years,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,2,Yes,Credit card (automatic),99.65,70+,6311.2,Low Risk,No
5067-XJQFU,Male,Senior,Yes,Yes,66,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,2,Yes,Electronic check,108.45,70+,7076.35,Low Risk,No
3957-SQXML,Female,Non-Senior,Yes,Yes,34,2-4 years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Credit card (automatic),24.95,1-35,894.3,Low Risk,No
5954-BDFSG,Female,Non-Senior,No,No,72,4+ years,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,3,Yes,Credit card (automatic),107.5,70+,7853.7,Low Risk,No
0434-CSFON,Female,Non-Senior,Yes,No,47,2-4 years,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,100.5,70+,4707.1,Low Risk,No
1215-FIGMP,Male,Non-Senior,No,No,60,4+ years,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,1,Yes,Bank transfer (automatic),89.9,70+,5450.7,Low Risk,No
0526-SXDJP,Male,Non-Senior,Yes,No,72,4+ years,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,3,No,Bank transfer (automatic),42.1,35-70,2962.0,Low Risk,No
0557-ASKVU,Female,Non-Senior,Yes,Yes,18,1-2 years,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,2,Yes,Credit card (automatic),54.4,35-70,957.1,Medium Risk,No
5698-BQJOH,Female,Non-Senior,No,No,9,0-1 year,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,No,Electronic check,94.4,70+,857.25,High Risk,Yes
5122-CYFXA,Female,Non-Senior,No,No,3,0-1 year,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,1,Yes,Electronic check,75.3,70+,244.1,High Risk,No
8627-ZYGSZ,Male,Non-Senior,Yes,No,47,2-4 years,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,2,Yes,Electronic check,78.9,70+,3650.35,Low Risk,No
3410-YOQBQ,Female,Non-Senior,No,No,31,2-4 years,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,3,No,Mailed check,79.2,70+,2497.2,Low Risk,No
3170-NMYVV,Female,Non-Senior,Yes,Yes,50,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),20.15,1-35,930.9,Low Risk,No
7410-OIEDU,Male,Non-Senior,No,No,10,0-1 year,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,1,Yes,Mailed check,79.85,70+,887.35,High Risk,No
2273-QCKXA,Male,Non-Senior,No,No,1,0-1 year,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,1,No,Mailed check,49.05,35-70,49.05,Low Risk,No
0731-EBJQB,Female,Non-Senior,Yes,Yes,52,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,Yes,Electronic check,20.4,1-35,1090.65,Low Risk,No
1891-QRQSA,Male,Senior,Yes,Yes,64,4+ years,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),111.6,70+,7099.0,Low Risk,No
8028-PNXHQ,Male,Non-Senior,Yes,Yes,62,4+ years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Bank transfer (automatic),24.25,1-35,1424.6,Low Risk,No
5630-AHZIL,Female,Non-Senior,No,Yes,3,0-1 year,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,1,Yes,Bank transfer (automatic),64.5,35-70,177.4,Low Risk,No
2673-CXQEU,Female,Senior,No,No,56,4+ years,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,2,No,Electronic check,110.5,70+,6139.5,Low Risk,No
6416-JNVRK,Female,Non-Senior,No,No,46,2-4 years,Yes,No,DSL,No,No,No,No,No,Yes,One year,2,No,Credit card (automatic),55.65,35-70,2688.85,Low Risk,No
5590-ZSKRV,Female,Non-Senior,Yes,Yes,8,0-1 year,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,1,No,Mailed check,54.65,35-70,482.25,Low Risk,No
0191-ZHSKZ,Male,Senior,No,No,30,2-4 years,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,74.75,70+,2111.3,Low Risk,No
3887-PBQAO,Female,Non-Senior,Yes,Yes,45,2-4 years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,2,Yes,Credit card (automatic),25.9,1-35,1216.6,Low Risk,No
5919-TMRGD,Female,Non-Senior,No,Yes,1,0-1 year,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,79.35,70+,79.35,High Risk,Yes
8108-UXRQN,Female,Non-Senior,Yes,Yes,11,0-1 year,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,1,No,Electronic check,50.55,35-70,565.35,Low Risk,No
9191-MYQKX,Female,Non-Senior,Yes,No,7,0-1 year,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Yes,Bank transfer (automatic),75.15,70+,496.9,High Risk,Yes
9919-YLNNG,Female,Non-Senior,No,No,42,2-4 years,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Yes,Bank transfer (automatic),103.8,70+,4327.5,Low Risk,No
0318-ZOPWS,Female,Non-Senior,Yes,No,49,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Bank transfer (automatic),20.15,1-35,973.35,Low Risk,No
4445-ZJNMU,Male,Non-Senior,No,No,9,0-1 year,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),99.3,70+,918.75,High Risk,No
4808-YNLEU,Female,Non-Senior,Yes,No,35,2-4 years,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,2,Yes,Bank transfer (automatic),62.15,35-70,2215.45,Low Risk,No
1862-QRWPE,Female,Non-Senior,Yes,Yes,48,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),20.65,1-35,1057.0,Low Risk,No
2796-NNUFI,Female,Non-Senior,Yes,Yes,46,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Mailed check,19.95,1-35,927.1,Low Risk,No
3016-KSVCP,Male,Non-Senior,Yes,No,29,2-4 years,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,1,No,Mailed check,33.75,1-35,1009.25,Low Risk,No
4767-HZZHQ,Male,Non-Senior,Yes,Yes,30,2-4 years,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,1,No,Bank transfer (automatic),82.05,70+,2570.2,Low Risk,No
2424-WVHPL,Male,Senior,No,No,1,0-1 year,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,1,No,Electronic check,74.7,70+,74.7,High Risk,No
7233-PAHHL,Male,Non-Senior,Yes,Yes,66,4+ years,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,3,Yes,Mailed check,84.0,70+,5714.25,Low Risk,No
6067-NGCEU,Female,Non-Senior,No,No,65,4+ years,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),111.05,70+,7107.0,Low Risk,No
9848-JQJTX,Male,Non-Senior,No,No,72,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),100.9,70+,7459.05,Low Risk,No
8637-XJIVR,Female,Non-Senior,No,No,12,0-1 year,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,78.95,70+,927.35,Medium Risk,Yes
9803-FTJCG,Male,Non-Senior,Yes,Yes,71,4+ years,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,2,Yes,Credit card (automatic),66.85,35-70,4748.7,Low Risk,No
0278-YXOOG,Male,Non-Senior,No,No,5,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,21.05,1-35,113.85,Low Risk,Yes
3212-KXOCR,Male,Non-Senior,No,No,52,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Bank transfer (automatic),21.0,1-35,1107.2,Low Risk,No
4598-XLKNJ,Female,Senior,Yes,No,25,2-4 years,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,98.5,70+,2514.5,Low Risk,Yes
6380-ARCEH,Male,Non-Senior,No,No,1,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.2,1-35,20.2,Low Risk,No
3679-XASPY,Female,Non-Senior,Yes,Yes,1,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Electronic check,19.45,1-35,19.45,Low Risk,No
7123-WQUHX,Male,Non-Senior,No,No,38,2-4 years,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,2,No,Bank transfer (automatic),95.0,70+,3605.6,Low Risk,No
5386-THSLQ,Female,Senior,Yes,No,66,4+ years,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,2,No,Bank transfer (automatic),45.55,35-70,3027.25,Low Risk,No
3192-NQECA,Male,Non-Senior,Yes,No,68,4+ years,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,3,Yes,Bank transfer (automatic),110.0,70+,7611.85,Low Risk,Yes
6180-YBIQI,Male,Non-Senior,No,No,5,0-1 year,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,No,Mailed check,24.3,1-35,100.2,Low Risk,No
6728-DKUCO,Female,Non-Senior,Yes,Yes,72,4+ years,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,2,Yes,Electronic check,104.15,70+,7303.05,Low Risk,No
9750-BOOHV,Female,Non-Senior,No,No,32,2-4 years,No,No phone service,DSL,Yes,No,No,No,No,No,One year,2,No,Mailed check,30.15,1-35,927.65,Low Risk,No
8597-CWYHH,Male,Non-Senior,No,No,43,2-4 years,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,2,No,Mailed check,94.35,70+,3921.3,Low Risk,No
2848-YXSMW,Male,Non-Senior,Yes,Yes,72,4+ years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Credit card (automatic),19.4,1-35,1363.25,Low Risk,No
0486-HECZI,Male,Non-Senior,Yes,No,55,4+ years,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Yes,Electronic check,96.75,70+,5238.9,Low Risk,Yes
4549-ZDQYY,Female,Non-Senior,No,No,52,4+ years,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,2,No,Credit card (automatic),57.95,35-70,3042.25,Low Risk,No
5712-AHQNN,Female,Non-Senior,No,No,43,2-4 years,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,1,Yes,Electronic check,91.65,70+,3954.1,Low Risk,No
4846-WHAFZ,Female,Senior,Yes,No,37,2-4 years,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,76.5,70+,2868.15,Low Risk,Yes
5256-SKJGO,Female,Non-Senior,Yes,Yes,64,4+ years,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,3,Yes,Electronic check,54.6,35-70,3423.5,Low Risk,No
3071-VBYPO,Male,Non-Senior,Yes,Yes,3,0-1 year,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,No,Electronic check,89.85,70+,248.4,High Risk,No
9560-BBZXK,Female,Non-Senior,No,No,36,2-4 years,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,3,No,Bank transfer (automatic),31.05,1-35,1126.35,Low Risk,No
5299-RULOA,Female,Non-Senior,Yes,Yes,10,0-1 year,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,1,Yes,Electronic check,100.25,70+,1064.65,High Risk,Yes
8402-OOOHJ,Female,Non-Senior,No,No,41,2-4 years,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,No,Mailed check,20.65,1-35,835.15,Low Risk,No
9445-ZUEQE,Male,Non-Senior,Yes,Yes,27,2-4 years,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,1,Yes,Credit card (automatic),85.2,70+,2151.6,Low Risk,No
1091-SOZGA,Female,Non-Senior,Yes,Yes,56,4+ years,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,2,Yes,Credit card (automatic),99.8,70+,5515.45,Low Risk,No
2928-HLDBA,Female,Non-Senior,No,No,6,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.7,1-35,112.75,Low Risk,No
0404-SWRVG,Male,Non-Senior,No,No,3,0-1 year,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Yes,Electronic check,74.4,70+,229.55,High Risk,Yes
6497-TILVL,Female,Non-Senior,Yes,Yes,7,0-1 year,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,No,Mailed check,50.7,35-70,350.35,Low Risk,No
7219-TLZHO,Female,Non-Senior,Yes,Yes,4,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,20.85,1-35,62.9,Low Risk,No
4622-YNKIJ,Male,Non-Senior,No,No,33,2-4 years,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,3,Yes,Electronic check,88.95,70+,3027.65,Low Risk,No
4412-YLTKF,Female,Senior,No,No,27,2-4 years,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Yes,Electronic check,78.05,70+,2135.5,Low Risk,Yes
6734-PSBAW,Male,Non-Senior,Yes,No,72,4+ years,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,3,Yes,Bank transfer (automatic),23.55,1-35,1723.95,Low Risk,No
3930-ZGWVE,Male,Non-Senior,No,No,1,0-1 year,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,No,Mailed check,19.75,1-35,19.75,Low Risk,No
2639-UGMAZ,Male,Senior,No,No,71,4+ years,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,2,Yes,Electronic check,56.45,35-70,3985.35,Low Risk,No
2876-GZYZC,Female,Non-Senior,No,No,13,1-2 years,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Yes,Electronic check,85.95,70+,1215.65,Medium Risk,No
6207-WIOLX,Female,Non-Senior,Yes,Yes,25,2-4 years,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,1,Yes,Credit card (automatic),58.6,35-70,1502.65,Low Risk,Yes
8587-XYZSF,Male,Non-Senior,No,No,67,4+ years,Yes,No,DSL,No,No,No,Yes,No,No,Two year,3,No,Bank transfer (automatic),50.55,35-70,3260.1,Low Risk,No
